-- sp_help Recordset 1

Name	Owner	Type	Created_datetime	
SAZMAN	dbo	user table	28/02/2026 08:21:20 ق.ظ


-- sp_help Recordset 2

Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation	
SSMTBMON	int	no	4	10   	0    	yes	(n/a)	(n/a)	
SSMDARSAD	real	no	4	24   		yes	(n/a)	(n/a)	
HDARKASRTAKHF	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
CRT	datetime	no	8	     	     	yes	(n/a)	(n/a)	
UID	int	no	4	10   	0    	yes	(n/a)	(n/a)	
PUBLICKEY	nvarchar	no	8000	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PRIVIATEKEY	nvarchar	no	8000	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
MEMORYID	nvarchar	no	12	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
Whether	bigint	no	8	19   	0    	yes	(n/a)	(n/a)	
MEMORYIDsand	nvarchar	no	12	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
Dcertificate	nvarchar	no	8000	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
HTAHOL	bit	no	1	     	     	yes	(n/a)	(n/a)	
SMSTYPE	nvarchar	no	510	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
MOADINA_SCNUM	decimal	no	9	18   	0    	no	(n/a)	(n/a)	


-- sp_help Recordset 3

Identity	Seed	Increment	Not For Replication	
No identity column defined.			


-- sp_help Recordset 4

RowGuidCol	
No rowguidcol column defined.


-- sp_help Recordset 5

Data_located_on_filegroup	
PRIMARY


-- sp_help Recordset 6

index_name	index_description	index_keys	
aaaaaSAZMAN_PK	nonclustered, unique, primary key located on PRIMARY	UNIVERSITY_CO
HKHARID	nonclustered located on PRIMARY	HKHARID
KHARID	nonclustered located on PRIMARY	KHARID
MKHARID	nonclustered located on PRIMARY	MKHARID
TKHARID	nonclustered located on PRIMARY	TKHARID


-- sp_help Recordset 7

constraint_type	constraint_name	delete_action	update_action	status_enabled	status_for_replication	constraint_keys	
PRIMARY KEY (non-clustered)	aaaaaSAZMAN_PK	(n/a)	(n/a)	(n/a)	(n/a)	UNIVERSITY_CO
DEFAULT on column BARCOD	DF__SAZMAN__BARCOD__59D10CA5	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column BEDEHKAR	DF__SAZMAN__BEDEHKAR__75035A77	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column BESTANKAR	DF__SAZMAN__BESTANKA__740F363E	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column CODEVIEW	DF__SAZMAN__CODEVIEW__605E0EA3	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column CRT	DF__SAZMAN__CRT__1C481021	(n/a)	(n/a)	(n/a)	(n/a)	(getdate())
DEFAULT on column DARAM	DF__SAZMAN__DARAM__7F80E8EA	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FROSH	DF__SAZMAN__FROSH__79C80F94	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column GHEYMAT	DF__SAZMAN__GHEYMAT__090A5324	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column HAVALAH	DF__SAZMAN__HAVALAH__0539C240	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column HAZ_TOL	DF__SAZMAN__HAZ_TOL__07220AB2	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column HBON	DF__SAZMAN__HBON__1FD8A9E3	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column HCON	DF__SAZMAN__HCON__1387E197	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column HDARAM	DF__SAZMAN__HDARAM__00750D23	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column HEZA	DF__SAZMAN__HEZA__0CDAE408	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column HFROSH	DF__SAZMAN__HFROSH__7CA47C3F	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column HJAZ	DF__SAZMAN__HJAZ__10AB74EC	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column HKHA	DF__SAZMAN__HKHA__0FB750B3	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column HKHARID	DF__SAZMAN__HKHARID__78D3EB5B	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column HKOL	DF__SAZMAN__HKOL__0169315C	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column HNAH	DF__SAZMAN__HNAH__0BE6BFCF	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column HOLA	DF__SAZMAN__HOLA__0EC32C7A	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column HPAD	DF__SAZMAN__HPAD__0DCF0841	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column HRAN	DF__SAZMAN__HRAN__119F9925	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column HSAY	DF__SAZMAN__HSAY__1293BD5E	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column HTAHOL	DF__SAZMAN__HTAHOL__0BFC99BF	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column KHARID	DF__SAZMAN__KHARID__75F77EB0	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column MAND	DF__SAZMAN__MAND__15702A09	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column MFROSH	DF__SAZMAN__MFROSH__7ABC33CD	(n/a)	(n/a)	(n/a)	(n/a)	((0))
