-- sp_help Recordset 1

Name	Owner	Type	Created_datetime	
SIGN	dbo	user table	28/02/2026 08:21:21 ق.ظ


-- sp_help Recordset 2

Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation	
SGN0333TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0132TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0232TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0332TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0134TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0234TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0334TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0135TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0235TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0335TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0136TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0236TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0336TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0137	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0237	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0337	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0137TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0237TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0337TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0140	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0240	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0340	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0140TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0240TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0340TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0141	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0241	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0341	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0141TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0241TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0341TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0142	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0242	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0342	bit	no	1	     	     	no	(n/a)	(n/a)	
SGN0142TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0242TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0342TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
CRT	datetime	no	8	     	     	yes	(n/a)	(n/a)	
UID	int	no	4	10   	0    	yes	(n/a)	(n/a)	


-- sp_help Recordset 3

Identity	Seed	Increment	Not For Replication	
No identity column defined.			


-- sp_help Recordset 4

RowGuidCol	
No rowguidcol column defined.


-- sp_help Recordset 5

Data_located_on_filegroup	
PRIMARY


-- sp_help Recordset 6

index_name	index_description	index_keys	
PK_SIGN	clustered, unique, primary key located on PRIMARY	USERCO


-- sp_help Recordset 7

constraint_type	constraint_name	delete_action	update_action	status_enabled	status_for_replication	constraint_keys	
DEFAULT on column CRT	DF__SIGN__CRT__42C2BEC4	(n/a)	(n/a)	(n/a)	(n/a)	(getdate())
DEFAULT on column ENTGH_AZANB	DF__SIGN__ENTGH_AZAN__1D913A15	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ENTGH_BEANB	DF__SIGN__ENTGH_BEAN__1E855E4E	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column ENTGH_MODIR	DF__SIGN__ENTGH_MODI__1F798287	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column PAY_HESAB	DF__SIGN__PAY_HESAB__1BA8F1A3	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column PAY_MAMEL	DF__SIGN__PAY_MAMEL__1C9D15DC	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column PAY_MVAHED	DF__SIGN__PAY_MVAHED__1AB4CD6A	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column PAZ_CEO	DF__SIGN__PAZ_CEO__2255EF32	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column PAZ_HES	DF__SIGN__PAZ_HES__2161CAF9	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column PAZ_PAZ	DF__SIGN__PAZ_PAZ__206DA6C0	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SGN0124	DF__SIGN__SGN0124__234A136B	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SGN0126	DF__SIGN__SGN0126__26268016	(n/a)	(n/a)	(n/a)	(n/a)	((0))
